West Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*, Payment ,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
2002.10," 233,000 ",6.06," 1,125 ",25.6,"52,641","54,000",97.5,96.0,100.4,,
2002.11," 228,700 ",6.02," 1,099 ",25.0,"52,673","52,752",99.9,97.5,103.8,,
2002.12," 238,000 ",5.99," 1,140 ",25.9,"52,725","54,720",96.4,99.9,98.1,,
2003.01," 237,000 ",5.89," 1,123 ",25.2,"53,440","53,904",99.1,96.4,93.2,,
2003.02," 233,600 ",5.85," 1,102 ",24.6,"53,715","52,896",101.5,99.1,93.0,,
2003.03," 236,400 ",5.69," 1,096 ",24.3,"54,177","52,608",103.0,101.5,90.4,,
2003.04," 249,500 ",5.62," 1,148 ",25.3,"54,429","55,104",98.8,103.0,92.6,,
2003.05," 251,600 ",5.57," 1,152 ",25.1,"54,988","55,296",99.4,98.8,91.9,,
2003.06," 259,000 ",5.31," 1,152 ",25.0,"55,331","55,296",100.1,99.4,97.3,,
2003.07," 255,800 ",5.30," 1,136 ",24.6,"55,425","54,528",101.6,100.1,94.1,,
2003.08," 253,500 ",5.50," 1,151 ",24.8,"55,758","55,248",100.9,101.6,97.8,,
2003.09," 256,000 ",5.79," 1,200 ",25.6,"56,198","57,600",97.6,100.9,96.0,,
2003.10," 257,700 ",5.70," 1,197 ",25.3,"56,718","57,456",98.7,97.6,97.5,,
2003.11," 256,400 ",5.77," 1,200 ",25.1,"57,336","57,600",99.5,98.7,99.9,,
2003.12," 270,400 ",5.70," 1,256 ",26.2,"57,631","60,288",95.6,99.5,96.4,,
2004.01," 261,600 ",5.59," 1,200 ",26.0,"55,375","57,600",96.1,95.6,99.1,,
2004.02," 259,800 ",5.60," 1,193 ",25.9,"55,369","57,264",96.7,96.1,101.5,,
2004.03," 264,100 ",5.30," 1,173 ",25.4,"55,359","56,304",98.3,96.7,103.0,,
2004.04," 274,700 ",5.26," 1,215 ",26.3,"55,347","58,320",94.9,98.3,98.8,,
2004.05," 282,000 ",5.68," 1,307 ",28.3,"55,331","62,736",88.2,94.9,99.4,,
2004.06," 292,400 ",5.93," 1,392 ",30.2,"55,323","66,816",82.8,88.2,100.1,,
2004.07," 301,100 ",5.85," 1,421 ",30.8,"55,314","68,208",81.1,82.8,101.6,,
2004.08," 284,700 ",5.73," 1,326 ",28.8,"55,300","63,648",86.9,81.1,100.9,,
2004.09," 294,200 ",5.56," 1,345 ",29.2,"55,295","64,560",85.6,86.9,97.6,,
2004.10," 297,900 ",5.54," 1,359 ",29.5,"55,283","65,232",84.7,85.6,98.7,,
2004.11," 294,300 ",5.59," 1,350 ",29.3,"55,279","64,800",85.3,84.7,99.5,,
2004.12," 302,600 ",5.68," 1,402 ",30.5,"55,250","67,296",82.1,85.3,95.6,,
2005.01," 305,500 ",5.72," 1,422 ",30.0,"56,852","68,256",83.3,82.1,96.1,,
2005.02," 298,800 ",5.60," 1,372 ",28.9,"57,023","65,856",86.6,83.3,96.7,,
2005.03," 317,400 ",5.71," 1,475 ",31.0,"57,172","70,800",80.8,86.6,98.3,,
2005.04," 335,100 ",5.89," 1,588 ",33.1,"57,507","76,224",75.4,80.8,94.9,,
2005.05," 333,600 ",5.77," 1,561 ",32.4,"57,791","74,928",77.1,75.4,88.2,,
2005.06," 347,100 ",5.64," 1,601 ",33.1,"58,123","76,848",75.6,77.1,82.8,,
2005.07," 354,100 ",5.66," 1,637 ",33.6,"58,525","78,576",74.5,75.6,81.1,,
2005.08," 350,500 ",5.84," 1,652 ",33.7,"58,828","79,296",74.2,74.5,86.9,,
2005.09," 352,100 ",5.85," 1,662 ",33.7,"59,124","79,776",74.1,74.2,85.6,,
2005.10," 348,500 ",5.93," 1,659 ",33.5,"59,417","79,632",74.6,74.1,84.7,,
2005.11," 361,400 ",6.19," 1,769 ",35.6,"59,690","84,912",70.3,74.6,85.3,,
2005.12," 351,000 ",6.23," 1,725 ",34.5,"59,987","82,800",72.4,70.3,82.1,,
2006.01," 344,900 ",6.25," 1,699 ",33.8,"60,293","81,552",73.9,72.4,83.3,,
2006.02," 334,800 ",6.27," 1,653 ",32.7,"60,581","79,344",76.4,73.9,86.6,,
2006.03," 347,400 ",6.44," 1,746 ",34.5,"60,807","83,808",72.6,76.4,80.8,,
2006.04," 353,400 ",6.53," 1,793 ",35.2,"61,114","86,064",71.0,72.6,75.4,,
2006.05," 351,000 ",6.65," 1,803 ",35.3,"61,237","86,544",70.8,71.0,77.1,,
