South Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,,Last,Last,,
, Home ,Rate*,Payment,Income, Income , Income** ,Composite,Month,Year,,
,,,,,,,,,,,
2003.12," 161,700 ",5.88,766.0,19.6," 46,875 "," 36,768 ",127.5,130.7,130,,
2004.01," 155,800 ",5.75,727.0,18.1," 48,097 "," 34,896 ",137.8,127.5,135.6,,
2004.02," 159,100 ",5.89,754.0,18.7," 48,388 "," 36,192 ",133.7,137.8,132.9,,
2004.03," 163,400 ",5.65,755.0,18.6," 48,626 "," 36,240 ",134.2,133.7,132.4,,
2004.04," 164,600 ",5.58,754.0,18.5," 48,908 "," 36,192 ",135.1,134.2,135.3,,
2004.05," 171,000 ",5.90,811.0,19.7," 49,306 "," 38,928 ",126.7,135.1,134.1,,
2004.06," 180,500 ",6.14,879.0,21.3," 49,486 "," 42,192 ",117.3,126.7,129.3,,
2004.07," 174,700 ",6.00,838.0,20.2," 49,718 "," 40,224 ",123.6,117.3,129.3,,
2004.08," 172,700 ",5.91,820.0,19.7," 49,939 "," 39,360 ",126.9,123.6,125.5,,
2004.09," 174,800 ",5.77,818.0,19.6," 49,970 "," 39,264 ",127.3,126.9,122.4,,
2004.10," 170,800 ",5.76,798.0,19.1," 50,166 "," 38,304 ",131.0,127.3,127.7,,
2004.11," 172,100 ",5.75,803.0,19.2," 50,148 "," 38,544 ",130.1,131.0,130.7,,
2004.12," 175,100 ",5.80,822.0,19.4," 50,738 "," 39,456 ",128.6,130.1,127.5,,
2005.01," 169,200 ",5.84,798.0,19.1," 50,135 "," 38,304 ",130.9,128.6,137.8,,
2005.02," 167,500 ",5.81,787.0,18.8," 50,210 "," 37,776 ",132.9,130.9,133.7,,
2005.03," 168,800 ",5.89,800.0,19.1," 50,276 "," 38,400 ",130.9,132.9,134.2,,
2005.04," 172,800 ",6.02,831.0,19.8," 50,425 "," 39,888 ",126.4,130.9,135.1,,
2005.05," 178,500 ",5.92,849.0,20.2," 50,550 "," 40,752 ",124.0,126.4,126.7,,
