Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1992.11," 149,800 ",8.00, 750 ,22.0," 40,802 "," 36,000 ",113.4,116.7,106.3,,,,,,,,,,,,,,,
1992.12," 149,600 ",7.82, 720 ,21.1," 40,827 "," 34,560 ",118.3,113.4,112.4,,,,,,,,,,,,,,,
1993.01," 133,800 ",7.58, 700 ,20.5," 40,852 "," 33,600 ",121.8,118.3,106.4,,,,,,,,,,,,,,,
1993.02," 132,800 ",7.31, 685 ,20.1," 40,876 "," 32,880 ",124.4,121.8,104.6,,,,,,,,,,,,,,,
1993.03," 142,200 ",7.35, 701 ,20.6," 40,901 "," 33,648 ",121.6,124.4,101.9,,,,,,,,,,,,,,,
1993.04," 151,300 ",7.12, 700 ,20.5," 40,925 "," 33,600 ",121.8,121.6,104.5,,,,,,,,,,,,,,,
1993.05," 143,400 ",7.15, 680 ,19.9," 40,950 "," 32,640 ",125.4,121.8,106.8,,,,,,,,,,,,,,,
1993.06," 154,900 ",7.03, 710 ,20.8," 40,975 "," 34,080 ",120.1,125.4,110.2,,,,,,,,,,,,,,,
1993.07," 154,700 ",6.95, 700 ,20.5," 41,067 "," 33,600 ",121.9,120.1,110.9,,,,,,,,,,,,,,,
1993.08," 154,700 ",6.90, 695 ,20.4," 41,227 "," 33,360 ",122.8,121.9,112.9,,,,,,,,,,,,,,,
1993.09," 148,100 ",6.69, 665 ,19.5," 41,387 "," 31,920 ",128.3,122.8,116.9,,,,,,,,,,,,,,,
1993.10," 147,500 ",6.62, 657 ,19.2," 41,548 "," 31,536 ",129.9,128.3,116.7,,,,,,,,,,,,,,,
1993.11," 150,700 ",6.88, 676 ,19.8," 41,710 "," 32,448 ",126.3,129.9,113.4,,,,,,,,,,,,,,,
1993.12," 154,400 ",6.77, 670 ,19.6," 41,872 "," 32,160 ",127.5,126.3,118.3,,,,,,,,,,,,,,,
1994.01," 138,700 ",6.69, 663 ,19.3," 42,035 "," 31,824 ",129.2,127.5,121.8,,,,,,,,,,,,,,,
1994.02," 135,200 ",6.85, 666 ,19.4," 42,199 "," 31,968 ",129.2,129.2,124.4,,,,,,,,,,,,,,,
