Average Sales Price of Existing Condo Homes,,,,,,,,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1999 to present,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,,,,,,,,
2005.12,"262,800","281,400","234,200","223,700","312,200",,6.9%,7.6%,5.8%,9.2%,4.3%,,,,,,,,,,,,,,,
2006.01,"261,000","277,400","228,500","229,600","307,500",,4.2%,6.7%,1.7%,2.7%,3.7%,,,,,,,,,,,,,,,
2006.02,"262,400","281,800","224,600","237,100","300,100",,5.3%,8.9%,-3.1%,8.6%,2.7%,,,,,,,,,,,,,,,
2006.03,"256,200","272,600","224,000","219,700","309,500",,2.2%,6.9%,-0.1%,-0.4%,-0.5%,,,,,,,,,,,,,,,
2006.04,"258,100","278,800","225,600","217,800","309,600",,-0.9%,2.6%,1.4%,-5.8%,-2.6%,,,,,,,,,,,,,,,
2006.05,"265,400","287,000","228,100","232,400","309,500",,0.9%,4.2%,1.3%,-2.4%,-1.2%,,,,,,,,,,,,,,,
2006.06,"261,200","288,200","227,700","219,900","303,900",,-2.5%,2.5%,-0.1%,-8.8%,-5.0%,,,,,,,,,,,,,,,
2006.07,"260,500","283,300","224,900","224,000","306,200",,-1.7%,0.3%,-0.6%,-3.7%,-3.3%,,,,,,,,,,,,,,,
2006.08,"260,100","289,400","230,100","217,900","297,000",,-1.8%,1.8%,1.0%,-5.8%,-5.1%,,,,,,,,,,,,,,,
2006.09,"256,000","274,300","229,500","222,400","296,800",,-2.1%,-0.3%,1.5%,-3.0%,-6.6%,,,,,,,,,,,,,,,
2006.10,"250,900","266,300","235,100","213,800","291,300",,-4.7%,-3.1%,4.9%,-11.0%,-7.2%,,,,,,,,,,,,,,,
2006.11,"259,800","282,700","238,500","218,300","298,100",,-0.8%,2.9%,5.5%,-6.3%,-5.2%,,,,,,,,,,,,,,,
2006.12,"265,400","300,900","231,400","219,100","300,900",,1.0%,6.9%,-1.2%,-2.1%,-3.6%,,,,,,,,,,,,,,,
2007.01,"258,700","291,600","236,700","216,300","281,300",,-0.9%,5.1%,3.6%,-5.8%,-8.5%,,,,,,,,,,,,,,,
2007.02,"258,800","281,100","228,100","212,800","312,700",,-1.4%,-0.2%,1.6%,-10.2%,4.2%,,,,,,,,,,,,,,,
2007.03,"266,900","295,600","239,400","220,200","308,400",,4.2%,8.4%,6.9%,0.2%,-0.4%,,,,,,,,,,,,,,,
2007.04,"261,200","287,100","235,100","213,600","307,600",,1.2%,3.0%,4.2%,-1.9%,-0.6%,,,,,,,,,,,,,,,
2007.05,"266,600","302,700","234,100","215,600","305,900",,0.5%,5.5%,2.6%,-7.2%,-1.2%,,,,,,,,,,,,,,,
2007.06,"266,800","302,100","235,400","213,800","309,900",,2.1%,4.8%,3.4%,-2.8%,2.0%,,,,,,,,,,,,,,,
2007.07,"267,400","296,200","237,300","224,100","306,500",,2.6%,4.6%,5.5%,0.0%,0.1%,,,,,,,,,,,,,,,
2007.08,"266,300","298,400","244,400","214,700","303,400",,2.4%,3.1%,6.2%,-1.5%,2.2%,,,,,,,,,,,,,,,
2007.09,"262,100","281,700","240,400","220,200","307,000",,2.4%,2.7%,4.7%,-1.0%,3.4%,,,,,,,,,,,,,,,
2007.10,"260,300","286,800","236,500","224,000","287,500",,3.7%,7.7%,0.6%,4.8%,-1.3%,,,,,,,,,,,,,,,
2007.11,"257,000","278,300","238,500","217,000","293,700",,-1.1%,-1.6%,0.0%,-0.6%,-1.5%,,,,,,,,,,,,,,,
2007.12,"262,200","292,000","239,900","218,700","292,300",,-1.2%,-3.0%,3.7%,-0.2%,-2.9%,,,,,,,,,,,,,,,
2008.01,"258,700","287,900","236,600","222,200","279,900",,0.0%,-1.3%,0.0%,2.7%,-0.5%,,,,,,,,,,,,,,,
2008.02,"252,100","274,900","240,900","208,600","283,500",,-2.6%,-2.2%,5.6%,-2.0%,-9.3%,,,,,,,,,,,,,,,
2008.03,"259,600","303,900","244,900","211,400","263,900",,-2.7%,2.8%,2.3%,-4.0%,-14.4%,,,,,,,,,,,,,,,
2008.04,"255,000","285,600","244,600","210,300","273,700",,-2.4%,-0.5%,4.0%,-1.5%,-11.0%,,,,,,,,,,,,,,,
2008.05,"263,400","296,800","249,800","220,300","277,800",,-1.2%,-1.9%,6.7%,2.2%,-9.2%,,,,,,,,,,,,,,,
2008.06,"265,500","294,400","244,800","223,400","293,700",,-0.5%,-2.5%,4.0%,4.5%,-5.2%,,,,,,,,,,,,,,,
2008.07,"259,700","303,600","235,300","212,400","272,400",,-2.9%,2.5%,-0.8%,-5.2%,-11.1%,,,,,,,,,,,,,,,
2008.08,"251,200","290,100","244,900","203,600","255,400",,-5.7%,-2.8%,0.2%,-5.2%,-15.8%,,,,,,,,,,,,,,,
2008.09,"240,700","281,600","220,600","198,900","247,000",,-8.2%,0.0%,-8.2%,-9.7%,-19.5%,,,,,,,,,,,,,,,
2008.10,"232,900","274,900","228,900","191,000","221,900",,-10.5%,-4.1%,-3.2%,-14.7%,-22.8%,,,,,,,,,,,,,,,
2008.11,"224,300","264,400","209,000","184,900","224,600",,-12.7%,-5.0%,-12.4%,-14.8%,-23.5%,,,,,,,,,,,,,,,
2008.12,"222,600","261,600","217,200","185,400","211,800",,-15.1%,-10.4%,-9.5%,-15.2%,-27.5%,,,,,,,,,,,,,,,
2009.01,"213,900","254,200","207,900","171,200","208,300",,-17.3%,-11.7%,-12.1%,-23.0%,-25.6%,,,,,,,,,,,,,,,
2009.02,"209,700","252,100","194,400","166,500","210,700",,-16.8%,-8.3%,-19.3%,-20.2%,-25.7%,,,,,,,,,,,,,,,
2009.03,"210,800","255,300","198,100","167,200","205,800",,-18.8%,-16.0%,-19.1%,-20.9%,-22.0%,,,,,,,,,,,,,,,
2009.04,"211,000","253,100","196,600","167,800","211,300",,-17.3%,-11.4%,-19.6%,-20.2%,-22.8%,,,,,,,,,,,,,,,
2009.05,"216,300","268,400","199,500","171,900","203,700",,-17.9%,-9.6%,-20.1%,-22.0%,-26.7%,,,,,,,,,,,,,,,
2009.06,"223,600","278,600","201,200","177,800","213,500",,-15.8%,-5.4%,-17.8%,-20.4%,-27.3%,,,,,,,,,,,,,,,
2009.07,"221,600","277,100","200,600","175,200","210,200",,-14.7%,-8.7%,-14.7%,-17.5%,-22.8%,,,,,,,,,,,,,,,
2009.08,"220,000","277,500","196,800","171,500","210,100",,-12.4%,-4.3%,-19.6%,-15.8%,-17.7%,,,,,,,,,,,,,,,
2009.09,"216,400","264,800","193,400","174,900","211,900",,-10.1%,-6.0%,-12.3%,-12.1%,-14.2%,,,,,,,,,,,,,,,
2009.10,"214,200","262,600","189,200","173,000","211,100",,-8.0%,-4.5%,-17.3%,-9.4%,-4.9%,,,,,,,,,,,,,,,
2009.11,"210,700","259,400","190,000","169,500","203,000",,-6.1%,-1.9%,-9.1%,-8.3%,-9.6%,,,,,,,,,,,,,,,
2009.12,"221,000","272,000","209,500","173,400","210,100",,-0.7%,4.0%,-3.5%,-6.5%,-0.8%,,,,,,,,,,,,,,,
2010.01,"214,200","273,600","205,400","153,900","203,400",,0.1%,7.6%,-1.2%,-10.1%,-2.4%,,,,,,,,,,,,,,,
2010.02,"211,800","273,200","193,300","158,100","197,400",,1.0%,8.4%,-0.6%,-5.0%,-6.3%,,,,,,,,,,,,,,,
